Fiscal Year,County,Number of Consummated Adoptions
2014,Anderson,9
2014,Andrews,1
2014,Angelina,10
2014,Aransas,9
2014,Archer,0
2014,Armstrong,0
2014,Atascosa,41
2014,Austin,6
2014,Bailey,2
2014,Bandera,8
2014,Bastrop,36
2014,Baylor,0
2014,Bee,7
2014,Bell,94
2014,Bexar,1093
2014,Blanco,0
2014,Borden,0
2014,Bosque,1
2014,Bowie,16
2014,Brazoria,5
2014,Brazos,31
2014,Brewster,0
2014,Briscoe,0
2014,Brooks,1
2014,Brown,16
2014,Burleson,6
2014,Burnet,20
2014,Caldwell,11
2014,Calhoun,0
2014,Callahan,1
2014,Cameron,11
2014,Camp,11
2014,Carson,0
2014,Cass,6
2014,Castro,9
2014,Chambers,3
2014,Cherokee,26
2014,Childress,0
2014,Clay,0
2014,Cochran,1
2014,Coke,0
2014,Coleman,1
2014,Collin,42
2014,Collingsworth,0
2014,Colorado,5
2014,Comal,17
2014,Comanche,2
2014,Concho,1
2014,Cooke,18
2014,Coryell,14
2014,Cottle,0
2014,Crane,0
2014,Crockett,1
2014,Crosby,1
2014,Culberson,0
2014,Dallam,0
2014,Dallas,304
2014,Dawson,2
2014,Deaf Smith,1
2014,Delta,1
2014,Denton,96
2014,Dewitt,0
2014,Dickens,0
2014,Dimmit,5
2014,Donley,0
2014,Duval,0
2014,Eastland,1
2014,Ector,49
2014,Edwards,0
2014,Ellis,5
2014,El Paso,102
2014,Erath,9
2014,Falls,5
2014,Fannin,2
2014,Fayette,18
2014,Fisher,0
2014,Floyd,5
2014,Foard,1
2014,Fort Bend,9
2014,Franklin,3
2014,Freestone,5
2014,Frio,12
2014,Gaines,3
2014,Galveston,32
2014,Garza,0
2014,Gillespie,6
2014,Glasscock,0
2014,Goliad,1
2014,Gonzales,4
2014,Gray,9
2014,Grayson,16
2014,Gregg,43
2014,Grimes,3
2014,Guadalupe,42
2014,Hale,6
2014,Hall,1
2014,Hamilton,0
2014,Hansford,0
2014,Hardeman,0
2014,Hardin,3
2014,Harris,805
2014,Harrison,10
2014,Hartley,3
2014,Haskell,3
2014,Hays,20
2014,Hemphill,0
2014,Henderson,26
2014,Hidalgo,10
2014,Hill,7
2014,Hockley,12
2014,Hood,14
2014,Hopkins,5
2014,Houston,6
2014,Howard,7
2014,Hudspeth,1
2014,Hunt,44
2014,Hutchinson,1
2014,Irion,0
2014,Jack,0
2014,Jackson,1
2014,Jasper,3
2014,Jeff Davis,0
2014,Jefferson,43
2014,Jim Hogg,0
2014,Jim Wells,4
2014,Johnson,66
2014,Jones,1
2014,Karnes,3
2014,Kaufman,11
2014,Kendall,8
2014,Kenedy,0
2014,Kent,0
2014,Kerr,20
2014,Kimble,2
2014,King,0
2014,Kinney,2
2014,Kleberg,19
2014,Knox,0
2014,Lamar,4
2014,Lamb,7
2014,Lampasas,11
2014,La Salle,2
2014,Lavaca,2
2014,Lee,1
2014,Leon,0
2014,Liberty,13
2014,Limestone,7
2014,Lipscomb,1
2014,Live Oak,5
2014,Llano,8
2014,Loving,0
2014,Lubbock,133
2014,Lynn,2
2014,Mcculloch,0
2014,Mclennan,0
2014,Mcmullen,0
2014,Madison,3
2014,Marion,0
2014,Martin,0
2014,Mason,0
2014,Matagorda,0
2014,Maverick,0
2014,Medina,21
2014,Menard,0
2014,Midland,23
2014,Milam,4
2014,Mills,0
2014,Mitchell,0
2014,Montague,3
2014,Montgomery,69
2014,Moore,3
2014,Morris,1
2014,Motley,1
2014,Nacogdoches,23
2014,Navarro,26
2014,Newton,0
2014,Nolan,0
2014,Nueces,26
2014,Ochiltree,0
2014,Oldham,0
2014,Orange,16
2014,Palo Pinto,6
2014,Panola,5
2014,Parker,4
2014,Parmer,0
2014,Pecos,1
2014,Polk,11
2014,Potter,55
2014,Presidio,1
2014,Rains,0
2014,Randall,30
2014,Reagan,0
2014,Real,1
2014,Red River,0
2014,Reeves,0
2014,Refugio,0
2014,Roberts,0
2014,Robertson,1
2014,Rockwall,13
2014,Runnels,1
2014,Rusk,2
2014,Sabine,0
2014,San Augustine,0
2014,San Jacinto,4
2014,San Patricio,13
2014,San Saba,1
2014,Schleicher,0
2014,Scurry,2
2014,Shackelford,0
2014,Shelby,6
2014,Sherman,0
2014,Smith,62
2014,Somervell,0
2014,Starr,8
2014,Stephens,0
2014,Sterling,0
2014,Stonewall,0
2014,Sutton,1
2014,Swisher,0
2014,Tarrant,276
2014,Taylor,24
2014,Terrell,0
2014,Terry,5
2014,Throckmorton,0
2014,Titus,6
2014,Tom Green,84
2014,Travis,243
2014,Trinity,6
2014,Tyler,0
2014,Upshur,5
2014,Upton,0
2014,Uvalde,13
2014,Val Verde,6
2014,Van Zandt,20
2014,Victoria,21
2014,Walker,2
2014,Waller,4
2014,Ward,1
2014,Washington,7
2014,Webb,25
2014,Wharton,7
2014,Wheeler,0
2014,Wichita,29
2014,Wilbarger,0
2014,Willacy,10
2014,Williamson,62
2014,Wilson,18
2014,Winkler,1
2014,Wise,9
2014,Wood,16
2014,Yoakum,0
2014,Young,2
2014,Zapata,4
2014,Zavala,4
2015,Anderson,9
2015,Andrews,2
2015,Angelina,9
2015,Aransas,8
2015,Archer,0
2015,Armstrong,0
2015,Atascosa,52
2015,Austin,1
2015,Bailey,0
2015,Bandera,11
2015,Bastrop,49
2015,Baylor,0
2015,Bee,6
2015,Bell,71
2015,Bexar,978
2015,Blanco,0
2015,Borden,0
2015,Bosque,8
2015,Bowie,5
2015,Brazoria,15
2015,Brazos,26
2015,Brewster,0
2015,Briscoe,0
2015,Brooks,0
2015,Brown,24
2015,Burleson,6
2015,Burnet,19
2015,Caldwell,21
2015,Calhoun,3
2015,Callahan,1
2015,Cameron,14
2015,Camp,12
2015,Carson,0
2015,Cass,4
2015,Castro,2
2015,Chambers,7
2015,Cherokee,32
2015,Childress,2
2015,Clay,1
2015,Cochran,1
2015,Coke,0
2015,Coleman,2
2015,Collin,68
2015,Collingsworth,2
2015,Colorado,3
2015,Comal,46
2015,Comanche,5
2015,Concho,0
2015,Cooke,14
2015,Coryell,5
2015,Cottle,0
2015,Crane,0
2015,Crockett,0
2015,Crosby,1
2015,Culberson,1
2015,Dallam,0
2015,Dallas,320
2015,Dawson,6
2015,Deaf Smith,4
2015,Delta,2
2015,Denton,82
2015,Dewitt,0
2015,Dickens,1
2015,Dimmit,4
2015,Donley,1
2015,Duval,2
2015,Eastland,3
2015,Ector,73
2015,Edwards,0
2015,Ellis,12
2015,El Paso,109
2015,Erath,2
2015,Falls,9
2015,Fannin,11
2015,Fayette,12
2015,Fisher,0
2015,Floyd,4
2015,Foard,0
2015,Fort Bend,16
2015,Franklin,2
2015,Freestone,6
2015,Frio,22
2015,Gaines,2
2015,Galveston,36
2015,Garza,1
2015,Gillespie,3
2015,Glasscock,0
2015,Goliad,3
2015,Gonzales,7
2015,Gray,4
2015,Grayson,38
2015,Gregg,30
2015,Grimes,5
2015,Guadalupe,25
2015,Hale,9
2015,Hall,0
2015,Hamilton,0
2015,Hansford,0
2015,Hardeman,0
2015,Hardin,8
2015,Harris,890
2015,Harrison,17
2015,Hartley,0
2015,Haskell,4
2015,Hays,32
2015,Hemphill,2
2015,Henderson,25
2015,Hidalgo,13
2015,Hill,19
2015,Hockley,16
2015,Hood,19
2015,Hopkins,8
2015,Houston,1
2015,Howard,23
2015,Hudspeth,0
2015,Hunt,44
2015,Hutchinson,1
2015,Irion,0
2015,Jack,0
2015,Jackson,1
2015,Jasper,1
2015,Jeff Davis,0
2015,Jefferson,63
2015,Jim Hogg,0
2015,Jim Wells,7
2015,Johnson,44
2015,Jones,0
2015,Karnes,8
2015,Kaufman,21
2015,Kendall,8
2015,Kenedy,0
2015,Kent,0
2015,Kerr,17
2015,Kimble,0
2015,King,0
2015,Kinney,0
2015,Kleberg,1
2015,Knox,0
2015,Lamar,4
2015,Lamb,0
2015,Lampasas,2
2015,La Salle,3
2015,Lavaca,7
2015,Lee,3
2015,Leon,0
2015,Liberty,22
2015,Limestone,8
2015,Lipscomb,1
2015,Live Oak,5
2015,Llano,12
2015,Loving,0
2015,Lubbock,140
2015,Lynn,0
2015,Mcculloch,0
2015,Mclennan,0
2015,Mcmullen,0
2015,Madison,2
2015,Marion,5
2015,Martin,0
2015,Mason,0
2015,Matagorda,10
2015,Maverick,2
2015,Medina,39
2015,Menard,1
2015,Midland,18
2015,Milam,7
2015,Mills,1
2015,Mitchell,0
2015,Montague,4
2015,Montgomery,96
2015,Moore,3
2015,Morris,4
2015,Motley,0
2015,Nacogdoches,24
2015,Navarro,20
2015,Newton,0
2015,Nolan,3
2015,Nueces,27
2015,Ochiltree,0
2015,Oldham,0
2015,Orange,28
2015,Palo Pinto,36
2015,Panola,2
2015,Parker,46
2015,Parmer,2
2015,Pecos,2
2015,Polk,14
2015,Potter,48
2015,Presidio,2
2015,Rains,0
2015,Randall,34
2015,Reagan,0
2015,Real,4
2015,Red River,2
2015,Reeves,1
2015,Refugio,2
2015,Roberts,0
2015,Robertson,6
2015,Rockwall,2
2015,Runnels,4
2015,Rusk,5
2015,Sabine,0
2015,San Augustine,0
2015,San Jacinto,5
2015,San Patricio,18
2015,San Saba,1
2015,Schleicher,3
2015,Scurry,3
2015,Shackelford,0
2015,Shelby,12
2015,Sherman,0
2015,Smith,51
2015,Somervell,3
2015,Starr,1
2015,Stephens,2
2015,Sterling,0
2015,Stonewall,5
2015,Sutton,0
2015,Swisher,3
2015,Tarrant,280
2015,Taylor,29
2015,Terrell,0
2015,Terry,4
2015,Throckmorton,0
2015,Titus,5
2015,Tom Green,68
2015,Travis,261
2015,Trinity,3
2015,Tyler,1
2015,Upshur,3
2015,Upton,0
2015,Uvalde,5
2015,Val Verde,1
2015,Van Zandt,14
2015,Victoria,20
2015,Walker,7
2015,Waller,5
2015,Ward,0
2015,Washington,7
2015,Webb,30
2015,Wharton,1
2015,Wheeler,0
2015,Wichita,18
2015,Wilbarger,1
2015,Willacy,0
2015,Williamson,37
2015,Wilson,21
2015,Winkler,1
2015,Wise,12
2015,Wood,11
2015,Yoakum,2
2015,Young,3
2015,Zapata,2
2015,Zavala,6
2016,Anderson,16
2016,Andrews,1
2016,Angelina,15
2016,Aransas,17
2016,Archer,0
2016,Armstrong,0
2016,Atascosa,33
2016,Austin,2
2016,Bailey,1
2016,Bandera,10
2016,Bastrop,58
2016,Baylor,0
2016,Bee,15
2016,Bell,102
2016,Bexar,807
2016,Blanco,2
2016,Borden,0
2016,Bosque,4
2016,Bowie,11
2016,Brazoria,31
2016,Brazos,19
2016,Brewster,0
2016,Briscoe,1
2016,Brooks,1
2016,Brown,18
2016,Burleson,4
2016,Burnet,30
2016,Caldwell,9
2016,Calhoun,1
2016,Callahan,1
2016,Cameron,26
2016,Camp,1
2016,Carson,4
2016,Cass,11
2016,Castro,4
2016,Chambers,5
2016,Cherokee,31
2016,Childress,1
2016,Clay,1
2016,Cochran,2
2016,Coke,0
2016,Coleman,1
2016,Collin,75
2016,Collingsworth,1
2016,Colorado,1
2016,Comal,48
2016,Comanche,3
2016,Concho,0
2016,Cooke,8
2016,Coryell,15
2016,Cottle,0
2016,Crane,0
2016,Crockett,0
2016,Crosby,3
2016,Culberson,0
2016,Dallam,1
2016,Dallas,349
2016,Dawson,17
2016,Deaf Smith,13
2016,Delta,6
2016,Denton,106
2016,Dewitt,0
2016,Dickens,0
2016,Dimmit,6
2016,Donley,1
2016,Duval,2
2016,Eastland,0
2016,Ector,59
2016,Edwards,1
2016,Ellis,15
2016,El Paso,107
2016,Erath,1
2016,Falls,2
2016,Fannin,5
2016,Fayette,5
2016,Fisher,0
2016,Floyd,2
2016,Foard,0
2016,Fort Bend,23
2016,Franklin,0
2016,Freestone,0
2016,Frio,19
2016,Gaines,2
2016,Galveston,56
2016,Garza,1
2016,Gillespie,3
2016,Glasscock,0
2016,Goliad,0
2016,Gonzales,16
2016,Gray,2
2016,Grayson,35
2016,Gregg,39
2016,Grimes,2
2016,Guadalupe,16
2016,Hale,22
2016,Hall,5
2016,Hamilton,1
2016,Hansford,3
2016,Hardeman,0
2016,Hardin,8
2016,Harris,716
2016,Harrison,16
2016,Hartley,0
2016,Haskell,0
2016,Hays,40
2016,Hemphill,0
2016,Henderson,45
2016,Hidalgo,33
2016,Hill,21
2016,Hockley,8
2016,Hood,13
2016,Hopkins,14
2016,Houston,3
2016,Howard,23
2016,Hudspeth,0
2016,Hunt,74
2016,Hutchinson,8
2016,Irion,0
2016,Jack,0
2016,Jackson,6
2016,Jasper,9
2016,Jeff Davis,0
2016,Jefferson,63
2016,Jim Hogg,5
2016,Jim Wells,11
2016,Johnson,34
2016,Jones,1
2016,Karnes,15
2016,Kaufman,32
2016,Kendall,5
2016,Kenedy,0
2016,Kent,0
2016,Kerr,29
2016,Kimble,1
2016,King,0
2016,Kinney,0
2016,Kleberg,2
2016,Knox,0
2016,Lamar,5
2016,Lamb,11
2016,Lampasas,2
2016,La Salle,0
2016,Lavaca,3
2016,Lee,10
2016,Leon,3
2016,Liberty,10
2016,Limestone,0
2016,Lipscomb,0
2016,Live Oak,5
2016,Llano,8
2016,Loving,0
2016,Lubbock,204
2016,Lynn,2
2016,Mcculloch,0
2016,Mclennan,0
2016,Mcmullen,0
2016,Madison,0
2016,Marion,0
2016,Martin,0
2016,Mason,0
2016,Matagorda,3
2016,Maverick,1
2016,Medina,21
2016,Menard,0
2016,Midland,30
2016,Milam,15
2016,Mills,0
2016,Mitchell,0
2016,Montague,3
2016,Montgomery,88
2016,Moore,0
2016,Morris,3
2016,Motley,0
2016,Nacogdoches,29
2016,Navarro,10
2016,Newton,0
2016,Nolan,1
2016,Nueces,53
2016,Ochiltree,0
2016,Oldham,0
2016,Orange,28
2016,Palo Pinto,12
2016,Panola,0
2016,Parker,55
2016,Parmer,3
2016,Pecos,0
2016,Polk,5
2016,Potter,73
2016,Presidio,0
2016,Rains,12
2016,Randall,46
2016,Reagan,2
2016,Real,0
2016,Red River,3
2016,Reeves,2
2016,Refugio,0
2016,Roberts,0
2016,Robertson,1
2016,Rockwall,11
2016,Runnels,3
2016,Rusk,9
2016,Sabine,2
2016,San Augustine,2
2016,San Jacinto,3
2016,San Patricio,21
2016,San Saba,10
2016,Schleicher,0
2016,Scurry,1
2016,Shackelford,0
2016,Shelby,5
2016,Sherman,1
2016,Smith,60
2016,Somervell,0
2016,Starr,2
2016,Stephens,0
2016,Sterling,0
2016,Stonewall,0
2016,Sutton,0
2016,Swisher,2
2016,Tarrant,278
2016,Taylor,32
2016,Terrell,0
2016,Terry,6
2016,Throckmorton,0
2016,Titus,4
2016,Tom Green,80
2016,Travis,263
2016,Trinity,2
2016,Tyler,1
2016,Upshur,9
2016,Upton,3
2016,Uvalde,10
2016,Val Verde,4
2016,Van Zandt,26
2016,Victoria,24
2016,Walker,9
2016,Waller,4
2016,Ward,1
2016,Washington,8
2016,Webb,51
2016,Wharton,5
2016,Wheeler,5
2016,Wichita,46
2016,Wilbarger,1
2016,Willacy,10
2016,Williamson,84
2016,Wilson,13
2016,Winkler,0
2016,Wise,11
2016,Wood,25
2016,Yoakum,2
2016,Young,2
2016,Zapata,0
2016,Zavala,8
2017,Anderson,7
2017,Andrews,15
2017,Angelina,40
2017,Aransas,7
2017,Archer,0
2017,Armstrong,0
2017,Atascosa,32
2017,Austin,2
2017,Bailey,5
2017,Bandera,1
2017,Bastrop,27
2017,Baylor,0
2017,Bee,7
2017,Bell,88
2017,Bexar,682
2017,Blanco,11
2017,Borden,0
2017,Bosque,10
2017,Bowie,13
2017,Brazoria,20
2017,Brazos,21
2017,Brewster,0
2017,Briscoe,1
2017,Brooks,0
2017,Brown,28
2017,Burleson,8
2017,Burnet,24
2017,Caldwell,18
2017,Calhoun,4
2017,Callahan,4
2017,Cameron,24
2017,Camp,2
2017,Carson,3
2017,Cass,7
2017,Castro,0
2017,Chambers,1
2017,Cherokee,15
2017,Childress,1
2017,Clay,2
2017,Cochran,0
2017,Coke,2
2017,Coleman,1
2017,Collin,63
2017,Collingsworth,1
2017,Colorado,2
2017,Comal,37
2017,Comanche,5
2017,Concho,0
2017,Cooke,12
2017,Coryell,28
2017,Cottle,0
2017,Crane,0
2017,Crockett,4
2017,Crosby,7
2017,Culberson,0
2017,Dallam,3
2017,Dallas,331
2017,Dawson,5
2017,Deaf Smith,6
2017,Delta,0
2017,Denton,102
2017,Dewitt,0
2017,Dickens,2
2017,Dimmit,3
2017,Donley,7
2017,Duval,2
2017,Eastland,2
2017,Ector,74
2017,Edwards,0
2017,Ellis,31
2017,El Paso,112
2017,Erath,3
2017,Falls,2
2017,Fannin,5
2017,Fayette,18
2017,Fisher,1
2017,Floyd,1
2017,Foard,0
2017,Fort Bend,26
2017,Franklin,3
2017,Freestone,0
2017,Frio,15
2017,Gaines,2
2017,Galveston,63
2017,Garza,3
2017,Gillespie,11
2017,Glasscock,0
2017,Goliad,0
2017,Gonzales,10
2017,Gray,6
2017,Grayson,11
2017,Gregg,40
2017,Grimes,7
2017,Guadalupe,37
2017,Hale,14
2017,Hall,0
2017,Hamilton,0
2017,Hansford,5
2017,Hardeman,0
2017,Hardin,9
2017,Harris,644
2017,Harrison,13
2017,Hartley,2
2017,Haskell,3
2017,Hays,54
2017,Hemphill,2
2017,Henderson,31
2017,Hidalgo,27
2017,Hill,10
2017,Hockley,8
2017,Hood,14
2017,Hopkins,27
2017,Houston,3
2017,Howard,11
2017,Hudspeth,0
2017,Hunt,54
2017,Hutchinson,9
2017,Irion,0
2017,Jack,0
2017,Jackson,0
2017,Jasper,15
2017,Jeff Davis,0
2017,Jefferson,51
2017,Jim Hogg,0
2017,Jim Wells,9
2017,Johnson,47
2017,Jones,2
2017,Karnes,9
2017,Kaufman,17
2017,Kendall,8
2017,Kenedy,0
2017,Kent,0
2017,Kerr,31
2017,Kimble,1
2017,King,0
2017,Kinney,0
2017,Kleberg,2
2017,Knox,0
2017,Lamar,22
2017,Lamb,6
2017,Lampasas,14
2017,La Salle,0
2017,Lavaca,5
2017,Lee,6
2017,Leon,8
2017,Liberty,20
2017,Limestone,4
2017,Lipscomb,0
2017,Live Oak,6
2017,Llano,12
2017,Loving,0
2017,Lubbock,205
2017,Lynn,3
2017,Mcculloch,0
2017,Mclennan,0
2017,Mcmullen,0
2017,Madison,0
2017,Marion,0
2017,Martin,0
2017,Mason,1
2017,Matagorda,3
2017,Maverick,1
2017,Medina,35
2017,Menard,0
2017,Midland,43
2017,Milam,16
2017,Mills,3
2017,Mitchell,1
2017,Montague,3
2017,Montgomery,89
2017,Moore,2
2017,Morris,1
2017,Motley,0
2017,Nacogdoches,35
2017,Navarro,4
2017,Newton,7
2017,Nolan,1
2017,Nueces,44
2017,Ochiltree,0
2017,Oldham,0
2017,Orange,34
2017,Palo Pinto,22
2017,Panola,0
2017,Parker,30
2017,Parmer,0
2017,Pecos,2
2017,Polk,4
2017,Potter,45
2017,Presidio,0
2017,Rains,0
2017,Randall,34
2017,Reagan,0
2017,Real,3
2017,Red River,5
2017,Reeves,0
2017,Refugio,0
2017,Roberts,0
2017,Robertson,2
2017,Rockwall,6
2017,Runnels,5
2017,Rusk,8
2017,Sabine,1
2017,San Augustine,0
2017,San Jacinto,1
2017,San Patricio,17
2017,San Saba,6
2017,Schleicher,0
2017,Scurry,2
2017,Shackelford,0
2017,Shelby,1
2017,Sherman,1
2017,Smith,60
2017,Somervell,3
2017,Starr,6
2017,Stephens,1
2017,Sterling,0
2017,Stonewall,0
2017,Sutton,0
2017,Swisher,4
2017,Tarrant,318
2017,Taylor,46
2017,Terrell,0
2017,Terry,4
2017,Throckmorton,0
2017,Titus,8
2017,Tom Green,57
2017,Travis,265
2017,Trinity,7
2017,Tyler,7
2017,Upshur,7
2017,Upton,2
2017,Uvalde,8
2017,Val Verde,8
2017,Van Zandt,16
2017,Victoria,23
2017,Walker,6
2017,Waller,4
2017,Ward,0
2017,Washington,0
2017,Webb,37
2017,Wharton,7
2017,Wheeler,0
2017,Wichita,38
2017,Wilbarger,0
2017,Willacy,1
2017,Williamson,81
2017,Wilson,24
2017,Winkler,0
2017,Wise,14
2017,Wood,12
2017,Yoakum,0
2017,Young,8
2017,Zapata,0
2017,Zavala,3
2018,Anderson,2
2018,Andrews,1
2018,Angelina,21
2018,Aransas,14
2018,Archer,1
2018,Armstrong,0
2018,Atascosa,26
2018,Austin,1
2018,Bailey,1
2018,Bandera,9
2018,Bastrop,39
2018,Baylor,1
2018,Bee,8
2018,Bell,115
2018,Bexar,818
2018,Blanco,1
2018,Borden,0
2018,Bosque,9
2018,Bowie,11
2018,Brazoria,16
2018,Brazos,21
2018,Brewster,2
2018,Briscoe,0
2018,Brooks,0
2018,Brown,33
2018,Burleson,7
2018,Burnet,32
2018,Caldwell,13
2018,Calhoun,4
2018,Callahan,4
2018,Cameron,34
2018,Camp,3
2018,Carson,1
2018,Cass,2
2018,Castro,0
2018,Chambers,3
2018,Cherokee,24
2018,Childress,6
2018,Clay,0
2018,Cochran,0
2018,Coke,2
2018,Coleman,1
2018,Collin,90
2018,Collingsworth,2
2018,Colorado,8
2018,Comal,56
2018,Comanche,3
2018,Concho,2
2018,Cooke,15
2018,Coryell,7
2018,Cottle,0
2018,Crane,0
2018,Crockett,2
2018,Crosby,13
2018,Culberson,0
2018,Dallam,1
2018,Dallas,330
2018,Dawson,4
2018,Deaf Smith,4
2018,Delta,0
2018,Denton,83
2018,Dewitt,0
2018,Dickens,0
2018,Dimmit,8
2018,Donley,0
2018,Duval,4
2018,Eastland,5
2018,Ector,55
2018,Edwards,0
2018,Ellis,19
2018,El Paso,68
2018,Erath,7
2018,Falls,2
2018,Fannin,14
2018,Fayette,4
2018,Fisher,3
2018,Floyd,3
2018,Foard,0
2018,Fort Bend,39
2018,Franklin,0
2018,Freestone,3
2018,Frio,32
2018,Gaines,5
2018,Galveston,57
2018,Garza,0
2018,Gillespie,6
2018,Glasscock,0
2018,Goliad,0
2018,Gonzales,7
2018,Gray,7
2018,Grayson,41
2018,Gregg,34
2018,Grimes,4
2018,Guadalupe,32
2018,Hale,2
2018,Hall,0
2018,Hamilton,4
2018,Hansford,2
2018,Hardeman,0
2018,Hardin,4
2018,Harris,637
2018,Harrison,7
2018,Hartley,0
2018,Haskell,2
2018,Hays,51
2018,Hemphill,0
2018,Henderson,24
2018,Hidalgo,29
2018,Hill,16
2018,Hockley,18
2018,Hood,8
2018,Hopkins,20
2018,Houston,15
2018,Howard,14
2018,Hudspeth,0
2018,Hunt,53
2018,Hutchinson,13
2018,Irion,0
2018,Jack,5
2018,Jackson,7
2018,Jasper,23
2018,Jeff Davis,0
2018,Jefferson,75
2018,Jim Hogg,0
2018,Jim Wells,11
2018,Johnson,61
2018,Jones,0
2018,Karnes,8
2018,Kaufman,37
2018,Kendall,8
2018,Kenedy,0
2018,Kent,0
2018,Kerr,10
2018,Kimble,0
2018,King,0
2018,Kinney,0
2018,Kleberg,13
2018,Knox,0
2018,Lamar,14
2018,Lamb,0
2018,Lampasas,8
2018,La Salle,2
2018,Lavaca,7
2018,Lee,1
2018,Leon,2
2018,Liberty,45
2018,Limestone,7
2018,Lipscomb,0
2018,Live Oak,2
2018,Llano,4
2018,Loving,0
2018,Lubbock,227
2018,Lynn,1
2018,Mcculloch,0
2018,Mclennan,0
2018,Mcmullen,0
2018,Madison,2
2018,Marion,1
2018,Martin,0
2018,Mason,0
2018,Matagorda,3
2018,Maverick,0
2018,Medina,20
2018,Menard,5
2018,Midland,28
2018,Milam,11
2018,Mills,2
2018,Mitchell,0
2018,Montague,9
2018,Montgomery,92
2018,Moore,8
2018,Morris,3
2018,Motley,0
2018,Nacogdoches,24
2018,Navarro,14
2018,Newton,6
2018,Nolan,2
2018,Nueces,75
2018,Ochiltree,0
2018,Oldham,0
2018,Orange,32
2018,Palo Pinto,31
2018,Panola,12
2018,Parker,39
2018,Parmer,4
2018,Pecos,1
2018,Polk,7
2018,Potter,46
2018,Presidio,0
2018,Rains,6
2018,Randall,47
2018,Reagan,0
2018,Real,3
2018,Red River,2
2018,Reeves,3
2018,Refugio,0
2018,Roberts,0
2018,Robertson,3
2018,Rockwall,8
2018,Runnels,4
2018,Rusk,11
2018,Sabine,5
2018,San Augustine,0
2018,San Jacinto,0
2018,San Patricio,24
2018,San Saba,2
2018,Schleicher,0
2018,Scurry,0
2018,Shackelford,0
2018,Shelby,4
2018,Sherman,0
2018,Smith,64
2018,Somervell,2
2018,Starr,3
2018,Stephens,0
2018,Sterling,0
2018,Stonewall,0
2018,Sutton,4
2018,Swisher,4
2018,Tarrant,344
2018,Taylor,39
2018,Terrell,0
2018,Terry,5
2018,Throckmorton,0
2018,Titus,3
2018,Tom Green,46
2018,Travis,245
2018,Trinity,2
2018,Tyler,6
2018,Upshur,12
2018,Upton,0
2018,Uvalde,20
2018,Val Verde,5
2018,Van Zandt,31
2018,Victoria,22
2018,Walker,7
2018,Waller,7
2018,Ward,3
2018,Washington,2
2018,Webb,30
2018,Wharton,5
2018,Wheeler,0
2018,Wichita,39
2018,Wilbarger,1
2018,Willacy,4
2018,Williamson,78
2018,Wilson,5
2018,Winkler,3
2018,Wise,17
2018,Wood,9
2018,Yoakum,4
2018,Young,17
